iter	Passed	Remaining
403	10258	2437
404	10286	2412
405	10312	2387
406	10338	2362
407	10365	2337
408	10392	2312
409	10418	2286
410	10444	2261
411	10458	2233
412	10476	2206
413	10502	2181
414	10528	2156
415	10555	2131
416	10582	2106
417	10608	2081
418	10634	2055
419	10672	2032
420	10699	2007
421	10710	1979
422	10736	1954
423	10761	1928
424	10789	1903
425	10815	1878
426	10840	1853
427	10866	1827
428	10892	1802
429	10920	1777
430	10947	1752
431	10973	1727
432	10999	1701
433	11025	1676
434	11050	1651
435	11078	1626
436	11105	1601
437	11136	1576
438	11170	1552
439	11198	1527
440	11208	1499
441	11233	1474
442	11262	1449
443	11289	1423
444	11316	1398
445	11330	1371
446	11356	1346
447	11370	1319
448	11397	1294
449	11425	1269
450	11452	1244
451	11478	1218
452	11505	1193
453	11531	1168
454	11554	1142
455	11581	1117
456	11600	1091
457	11644	1067
458	11674	1042
459	11701	1017
460	11715	991
461	11742	965
462	11768	940
463	11795	915
464	11822	889
465	11850	864
466	11877	839
467	11904	813
468	11925	788
469	11952	762
470	11977	737
471	12004	712
472	12023	686
473	12050	661
474	12075	635
475	12102	610
476	12129	584
477	12156	559
478	12182	534
479	12208	508
480	12247	483
481	12280	458
482	12308	433
483	12330	407
484	12356	382
485	12383	356
486	12409	331
487	12435	305
488	12460	280
489	12495	255
490	12523	229
491	12548	204
492	12574	178
493	12601	153
494	12640	127
495	12666	102
496	12696	76
497	12722	51
498	12735	25
499	12762	0
